"Exon ID"	"Gene Symbol"	"Chr"	"Strand"	"Exon Start"	"Exon End"	"Upstream Exon Start"	"Upstream Exon End"	"Downstream Exon Start"	"Downstream Exon End"	"P-value"	"FDR"
"26244|ENSG00000175216.14_3|CKAP5|chr11|-|46781901|46781925|46780818|46780992|46782161|46782200"	"ENSG00000175216.14_3"	"CKAP5"	"chr11"	"-"	"46781901"	"46781925"	"46780818"	"46780992"	"46782161"	"46782200"	"0"	"0"
"30935|ENSG00000110076.18_2|NRXN2|chr11|-|64393934|64394024|64390224|64390550|64397873|64398045"	"ENSG00000110076.18_2"	"NRXN2"	"chr11"	"-"	"64393934"	"64394024"	"64390224"	"64390550"	"64397873"	"64398045"	"0"	"0"
"45497|ENSG00000034053.14_3|APBA2|chr15|+|29386480|29386516|29385277|29385423|29390692|29390779"	"ENSG00000034053.14_3"	"APBA2"	"chr15"	"+"	"29386480"	"29386516"	"29385277"	"29385423"	"29390692"	"29390779"	"0"	"0"
"70178|ENSG00000117408.10_2|IPO13|chr1|+|44429940|44429993|44426837|44426934|44432246|44432313"	"ENSG00000117408.10_2"	"IPO13"	"chr1"	"+"	"44429940"	"44429993"	"44426837"	"44426934"	"44432246"	"44432313"	"0"	"0"
"72047|ENSG00000100505.13_2|TRIM9|chr14|-|51449659|51449683|51448517|51448821|51464767|51464906"	"ENSG00000100505.13_2"	"TRIM9"	"chr14"	"-"	"51449659"	"51449683"	"51448517"	"51448821"	"51464767"	"51464906"	"0"	"0"
"74324|ENSG00000204387.12_2|C6orf48|chr6|+|31804075|31804294|31803187|31803228|31805012|31805212"	"ENSG00000204387.12_2"	"C6orf48"	"chr6"	"+"	"31804075"	"31804294"	"31803187"	"31803228"	"31805012"	"31805212"	"0"	"0"
"74326|ENSG00000204387.12_2|C6orf48|chr6|+|31804200|31804294|31803187|31803228|31805012|31805212"	"ENSG00000204387.12_2"	"C6orf48"	"chr6"	"+"	"31804200"	"31804294"	"31803187"	"31803228"	"31805012"	"31805212"	"0"	"0"
"76792|ENSG00000151150.21_3|ANK3|chr10|-|61841907|61841934|61840294|61840376|61842372|61842444"	"ENSG00000151150.21_3"	"ANK3"	"chr10"	"-"	"61841907"	"61841934"	"61840294"	"61840376"	"61842372"	"61842444"	"0"	"0"
"82577|ENSG00000084234.16_3|APLP2|chr11|+|130007150|130007186|130005457|130005610|130010292|130010378"	"ENSG00000084234.16_3"	"APLP2"	"chr11"	"+"	"130007150"	"130007186"	"130005457"	"130005610"	"130010292"	"130010378"	"0"	"0"
"90622|ENSG00000179364.13_3|PACS2|chr14|+|105852021|105852054|105851215|105851324|105856297|105856340"	"ENSG00000179364.13_3"	"PACS2"	"chr14"	"+"	"105852021"	"105852054"	"105851215"	"105851324"	"105856297"	"105856340"	"0"	"0"
"97976|ENSG00000131626.16_3|PPFIA1|chr11|+|70179127|70179202|70178065|70178200|70179575|70179659"	"ENSG00000131626.16_3"	"PPFIA1"	"chr11"	"+"	"70179127"	"70179202"	"70178065"	"70178200"	"70179575"	"70179659"	"0"	"0"
"110264|ENSG00000131018.22_1|SYNE1|chr6|-|152466621|152466690|152464757|152464900|152469179|152469513"	"ENSG00000131018.22_1"	"SYNE1"	"chr6"	"-"	"152466621"	"152466690"	"152464757"	"152464900"	"152469179"	"152469513"	"0"	"0"
"118388|ENSG00000196535.15_3|MYO18A|chr17|-|27412621|27412666|27409333|27409456|27413455|27413595"	"ENSG00000196535.15_3"	"MYO18A"	"chr17"	"-"	"27412621"	"27412666"	"27409333"	"27409456"	"27413455"	"27413595"	"0"	"0"
"119307|ENSG00000123349.13_3|PFDN5|chr12|+|53690027|53690059|53689074|53689423|53691633|53691708"	"ENSG00000123349.13_3"	"PFDN5"	"chr12"	"+"	"53690027"	"53690059"	"53689074"	"53689423"	"53691633"	"53691708"	"0"	"0"
"119525|ENSG00000085733.15_2|CTTN|chr11|+|70267575|70267686|70266505|70266616|70269045|70269101"	"ENSG00000085733.15_2"	"CTTN"	"chr11"	"+"	"70267575"	"70267686"	"70266505"	"70266616"	"70269045"	"70269101"	"0"	"0"
"123628|ENSG00000132692.18_3|BCAN|chr1|+|156627918|156628063|156626520|156627549|156628334|156628525"	"ENSG00000132692.18_3"	"BCAN"	"chr1"	"+"	"156627918"	"156628063"	"156626520"	"156627549"	"156628334"	"156628525"	"0"	"0"
"130927|ENSG00000092531.9_2|SNAP23|chr15|+|42813811|42813906|42807434|42807552|42820459|42820541"	"ENSG00000092531.9_2"	"SNAP23"	"chr15"	"+"	"42813811"	"42813906"	"42807434"	"42807552"	"42820459"	"42820541"	"0"	"0"
"140757|ENSG00000139737.21_3|SLAIN1|chr13|+|78317150|78317300|78293666|78293806|78318417|78318567"	"ENSG00000139737.21_3"	"SLAIN1"	"chr13"	"+"	"78317150"	"78317300"	"78293666"	"78293806"	"78318417"	"78318567"	"0"	"0"
"147258|ENSG00000127603.23_3|MACF1|chr1|+|39930766|39930784|39929283|39929358|39934286|39934404"	"ENSG00000127603.23_3"	"MACF1"	"chr1"	"+"	"39930766"	"39930784"	"39929283"	"39929358"	"39934286"	"39934404"	"0"	"0"
"154805|ENSG00000143549.19_2|TPM3|chr1|-|154141780|154141859|154129169|154130197|154142875|154142945"	"ENSG00000143549.19_2"	"TPM3"	"chr1"	"-"	"154141780"	"154141859"	"154129169"	"154130197"	"154142875"	"154142945"	"0"	"0"
"157785|ENSG00000151914.19_3|DST|chr6|-|56327843|56327954|56324928|56325052|56328362|56328562"	"ENSG00000151914.19_3"	"DST"	"chr6"	"-"	"56327843"	"56327954"	"56324928"	"56325052"	"56328362"	"56328562"	"0"	"0"
"166946|ENSG00000166313.18_3|APBB1|chr11|-|6423206|6423212|6422281|6422918|6423311|6423439"	"ENSG00000166313.18_3"	"APBB1"	"chr11"	"-"	"6423206"	"6423212"	"6422281"	"6422918"	"6423311"	"6423439"	"0"	"0"
"184953|ENSG00000136717.14_3|BIN1|chr2|-|127809830|127809938|127808729|127808819|127816586|127816731"	"ENSG00000136717.14_3"	"BIN1"	"chr2"	"-"	"127809830"	"127809938"	"127808729"	"127808819"	"127816586"	"127816731"	"0"	"0"
"184992|ENSG00000136717.14_3|BIN1|chr2|-|127815048|127815177|127808729|127808819|127816586|127816731"	"ENSG00000136717.14_3"	"BIN1"	"chr2"	"-"	"127815048"	"127815177"	"127808729"	"127808819"	"127816586"	"127816731"	"0"	"0"
"185043|ENSG00000136717.14_3|BIN1|chr2|-|127825738|127825831|127821508|127821594|127826499|127826607"	"ENSG00000136717.14_3"	"BIN1"	"chr2"	"-"	"127825738"	"127825831"	"127821508"	"127821594"	"127826499"	"127826607"	"0"	"0"
"193349|ENSG00000183773.15_3|AIFM3|chr22|+|21335035|21335056|21334308|21334413|21335280|21335649"	"ENSG00000183773.15_3"	"AIFM3"	"chr22"	"+"	"21335035"	"21335056"	"21334308"	"21334413"	"21335280"	"21335649"	"0"	"0"
"200391|ENSG00000129353.14_3|SLC44A2|chr19|+|10753572|10753697|10753042|10753127|10753954|10754806"	"ENSG00000129353.14_3"	"SLC44A2"	"chr19"	"+"	"10753572"	"10753697"	"10753042"	"10753127"	"10753954"	"10754806"	"0"	"0"
"211084|ENSG00000107331.16_3|ABCA2|chr9|-|139918289|139918292|139917392|139917504|139918594|139918688"	"ENSG00000107331.16_3"	"ABCA2"	"chr9"	"-"	"139918289"	"139918292"	"139917392"	"139917504"	"139918594"	"139918688"	"0"	"0"
"212776|ENSG00000062598.17_3|ELMO2|chr20|-|45027335|45027410|45023043|45023171|45061532|45061624"	"ENSG00000062598.17_3"	"ELMO2"	"chr20"	"-"	"45027335"	"45027410"	"45023043"	"45023171"	"45061532"	"45061624"	"0"	"0"
"215281|ENSG00000148341.17_2|SH3GLB2|chr9|-|131771731|131771746|131771384|131771625|131772049|131772150"	"ENSG00000148341.17_2"	"SH3GLB2"	"chr9"	"-"	"131771731"	"131771746"	"131771384"	"131771625"	"131772049"	"131772150"	"0"	"0"
"215294|ENSG00000148341.17_2|SH3GLB2|chr9|-|131775286|131775298|131774514|131774577|131776689|131776782"	"ENSG00000148341.17_2"	"SH3GLB2"	"chr9"	"-"	"131775286"	"131775298"	"131774514"	"131774577"	"131776689"	"131776782"	"0"	"0"
"220730|ENSG00000110514.19_3|MADD|chr11|+|47330530|47330593|47330141|47330250|47330831|47330952"	"ENSG00000110514.19_3"	"MADD"	"chr11"	"+"	"47330530"	"47330593"	"47330141"	"47330250"	"47330831"	"47330952"	"0"	"0"
"220744|ENSG00000110514.19_3|MADD|chr11|+|47348094|47348103|47346021|47346128|47348288|47348358"	"ENSG00000110514.19_3"	"MADD"	"chr11"	"+"	"47348094"	"47348103"	"47346021"	"47346128"	"47348288"	"47348358"	"0"	"0"
"222772|ENSG00000060971.17_3|ACAA1|chr3|-|38173086|38173129|38170780|38170879|38173416|38173437"	"ENSG00000060971.17_3"	"ACAA1"	"chr3"	"-"	"38173086"	"38173129"	"38170780"	"38170879"	"38173416"	"38173437"	"0"	"0"
"224473|ENSG00000130294.15_2|KIF1A|chr2|-|241711986|241712013|241710387|241710521|241712530|241712673"	"ENSG00000130294.15_2"	"KIF1A"	"chr2"	"-"	"241711986"	"241712013"	"241710387"	"241710521"	"241712530"	"241712673"	"0"	"0"
"224674|ENSG00000122705.16_2|CLTA|chr9|+|36209263|36209317|36204064|36204176|36211599|36212056"	"ENSG00000122705.16_2"	"CLTA"	"chr9"	"+"	"36209263"	"36209317"	"36204064"	"36204176"	"36211599"	"36212056"	"0"	"0"
"230078|ENSG00000101474.11_3|APMAP|chr20|-|24945010|24945034|24943560|24944658|24950161|24950296"	"ENSG00000101474.11_3"	"APMAP"	"chr20"	"-"	"24945010"	"24945034"	"24943560"	"24944658"	"24950161"	"24950296"	"0"	"0"
"233074|ENSG00000185046.18_3|ANKS1B|chr12|-|99201621|99201693|99194774|99194903|99222951|99223131"	"ENSG00000185046.18_3"	"ANKS1B"	"chr12"	"-"	"99201621"	"99201693"	"99194774"	"99194903"	"99222951"	"99223131"	"0"	"0"
"233078|ENSG00000185046.18_3|ANKS1B|chr12|-|99201621|99201696|99194774|99194903|99222951|99223029"	"ENSG00000185046.18_3"	"ANKS1B"	"chr12"	"-"	"99201621"	"99201696"	"99194774"	"99194903"	"99222951"	"99223029"	"0"	"0"
"234572|ENSG00000136436.14_3|CALCOCO2|chr17|+|46933940|46933978|46933462|46933549|46937675|46937811"	"ENSG00000136436.14_3"	"CALCOCO2"	"chr17"	"+"	"46933940"	"46933978"	"46933462"	"46933549"	"46937675"	"46937811"	"0"	"0"
"239012|ENSG00000122566.20_2|HNRNPA2B1|chr7|-|26237450|26237486|26237241|26237352|26240191|26240366"	"ENSG00000122566.20_2"	"HNRNPA2B1"	"chr7"	"-"	"26237450"	"26237486"	"26237241"	"26237352"	"26240191"	"26240366"	"0"	"0"
"244014|ENSG00000082397.17_3|EPB41L3|chr18|-|5398019|5398142|5397056|5397425|5406775|5406967"	"ENSG00000082397.17_3"	"EPB41L3"	"chr18"	"-"	"5398019"	"5398142"	"5397056"	"5397425"	"5406775"	"5406967"	"0"	"0"
"244016|ENSG00000082397.17_3|EPB41L3|chr18|-|5398019|5401042|5397056|5397425|5406775|5406967"	"ENSG00000082397.17_3"	"EPB41L3"	"chr18"	"-"	"5398019"	"5401042"	"5397056"	"5397425"	"5406775"	"5406967"	"0"	"0"
"244025|ENSG00000082397.17_3|EPB41L3|chr18|-|5400967|5401042|5397056|5397425|5406775|5406967"	"ENSG00000082397.17_3"	"EPB41L3"	"chr18"	"-"	"5400967"	"5401042"	"5397056"	"5397425"	"5406775"	"5406967"	"0"	"0"
"246428|ENSG00000196776.14_2|CD47|chr3|-|107768465|107768498|107765925|107766139|107770785|107770817"	"ENSG00000196776.14_2"	"CD47"	"chr3"	"-"	"107768465"	"107768498"	"107765925"	"107766139"	"107770785"	"107770817"	"0"	"0"
"252253|ENSG00000196961.12_2|AP2A1|chr19|+|50305790|50305856|50305237|50305398|50306205|50306262"	"ENSG00000196961.12_2"	"AP2A1"	"chr19"	"+"	"50305790"	"50305856"	"50305237"	"50305398"	"50306205"	"50306262"	"0"	"0"
"262011|ENSG00000081803.15_3|CADPS2|chr7|-|122026348|122026363|122019421|122019496|122027079|122027227"	"ENSG00000081803.15_3"	"CADPS2"	"chr7"	"-"	"122026348"	"122026363"	"122019421"	"122019496"	"122027079"	"122027227"	"0"	"0"
"264858|ENSG00000110075.14_3|PPP6R3|chr11|+|68376940|68377096|68370809|68370960|68377371|68377491"	"ENSG00000110075.14_3"	"PPP6R3"	"chr11"	"+"	"68376940"	"68377096"	"68370809"	"68370960"	"68377371"	"68377491"	"0"	"0"
"264860|ENSG00000110075.14_3|PPP6R3|chr11|+|68377078|68377096|68370809|68370960|68377371|68377491"	"ENSG00000110075.14_3"	"PPP6R3"	"chr11"	"+"	"68377078"	"68377096"	"68370809"	"68370960"	"68377371"	"68377491"	"0"	"0"
"278687|ENSG00000149657.19_3|LSM14B|chr20|+|60702640|60702757|60701359|60701495|60704840|60705008"	"ENSG00000149657.19_3"	"LSM14B"	"chr20"	"+"	"60702640"	"60702757"	"60701359"	"60701495"	"60704840"	"60705008"	"0"	"0"
"286603|ENSG00000102710.19_3|SUPT20H|chr13|-|37584688|37584792|37583448|37583946|37586328|37586434"	"ENSG00000102710.19_3"	"SUPT20H"	"chr13"	"-"	"37584688"	"37584792"	"37583448"	"37583946"	"37586328"	"37586434"	"0"	"0"
"286798|ENSG00000240771.6_2|ARHGEF25|chr12|+|58008298|58008388|58008113|58008183|58008471|58008564"	"ENSG00000240771.6_2"	"ARHGEF25"	"chr12"	"+"	"58008298"	"58008388"	"58008113"	"58008183"	"58008471"	"58008564"	"0"	"0"
"289520|ENSG00000135486.17_3|HNRNPA1|chr12|+|54676862|54677018|54676583|54676658|54677595|54677751"	"ENSG00000135486.17_3"	"HNRNPA1"	"chr12"	"+"	"54676862"	"54677018"	"54676583"	"54676658"	"54677595"	"54677751"	"0"	"0"
"291912|ENSG00000157827.19_3|FMNL2|chr2|+|153479050|153479071|153476091|153476232|153481951|153482076"	"ENSG00000157827.19_3"	"FMNL2"	"chr2"	"+"	"153479050"	"153479071"	"153476091"	"153476232"	"153481951"	"153482076"	"0"	"0"
"291936|ENSG00000157827.19_3|FMNL2|chr2|+|153499932|153500058|153497304|153497428|153504309|153506337"	"ENSG00000157827.19_3"	"FMNL2"	"chr2"	"+"	"153499932"	"153500058"	"153497304"	"153497428"	"153504309"	"153506337"	"0"	"0"
"297998|ENSG00000111666.10_3|CHPT1|chr12|+|102113267|102113294|102110505|102110590|102113900|102114032"	"ENSG00000111666.10_3"	"CHPT1"	"chr12"	"+"	"102113267"	"102113294"	"102110505"	"102110590"	"102113900"	"102114032"	"0"	"0"
"308446|ENSG00000137076.20_3|TLN1|chr9|-|35722857|35722918|35722115|35722220|35723948|35724076"	"ENSG00000137076.20_3"	"TLN1"	"chr9"	"-"	"35722857"	"35722918"	"35722115"	"35722220"	"35723948"	"35724076"	"0"	"0"
"318919|ENSG00000197111.15_3|PCBP2|chr12|+|53861588|53861627|53861004|53861077|53862560|53862616"	"ENSG00000197111.15_3"	"PCBP2"	"chr12"	"+"	"53861588"	"53861627"	"53861004"	"53861077"	"53862560"	"53862616"	"0"	"0"
"318995|ENSG00000149294.16_3|NCAM1|chr11|+|113117089|113117092|113105754|113105886|113126598|113126723"	"ENSG00000149294.16_3"	"NCAM1"	"chr11"	"+"	"113117089"	"113117092"	"113105754"	"113105886"	"113126598"	"113126723"	"0"	"0"
"323946|ENSG00000089159.16_3|PXN|chr12|-|120657009|120657894|120652905|120653076|120659425|120659561"	"ENSG00000089159.16_3"	"PXN"	"chr12"	"-"	"120657009"	"120657894"	"120652905"	"120653076"	"120659425"	"120659561"	"0"	"0"
"324888|ENSG00000047849.21_3|MAP4|chr3|-|47917174|47917390|47913406|47913590|47918906|47919013"	"ENSG00000047849.21_3"	"MAP4"	"chr3"	"-"	"47917174"	"47917390"	"47913406"	"47913590"	"47918906"	"47919013"	"0"	"0"
"326979|ENSG00000105223.19_3|PLD3|chr19|+|40871459|40871837|40854596|40854675|40872325|40872371"	"ENSG00000105223.19_3"	"PLD3"	"chr19"	"+"	"40871459"	"40871837"	"40854596"	"40854675"	"40872325"	"40872371"	"0"	"0"
"326981|ENSG00000105223.19_3|PLD3|chr19|+|40871568|40871837|40854606|40854675|40872325|40872417"	"ENSG00000105223.19_3"	"PLD3"	"chr19"	"+"	"40871568"	"40871837"	"40854606"	"40854675"	"40872325"	"40872417"	"0"	"0"
"330524|ENSG00000060237.16_3|WNK1|chr12|+|1010726|1010798|1009641|1009836|1017012|1017200"	"ENSG00000060237.16_3"	"WNK1"	"chr12"	"+"	"1010726"	"1010798"	"1009641"	"1009836"	"1017012"	"1017200"	"0"	"0"
"334330|ENSG00000178950.16_2|GAK|chr4|-|853149|853281|845537|845762|853393|853510"	"ENSG00000178950.16_2"	"GAK"	"chr4"	"-"	"853149"	"853281"	"845537"	"845762"	"853393"	"853510"	"0"	"0"
"336435|ENSG00000106628.10_3|POLD2|chr7|-|44155713|44155871|44155364|44155492|44156028|44156109"	"ENSG00000106628.10_3"	"POLD2"	"chr7"	"-"	"44155713"	"44155871"	"44155364"	"44155492"	"44156028"	"44156109"	"0"	"0"
"337046|ENSG00000138326.18_2|RPS24|chr10|+|79797722|79797740|79796951|79797062|79799961|79799983"	"ENSG00000138326.18_2"	"RPS24"	"chr10"	"+"	"79797722"	"79797740"	"79796951"	"79797062"	"79799961"	"79799983"	"0"	"0"
"346484|ENSG00000067840.12_2|PDZD4|chrX|-|153072733|153072824|153072196|153072295|153095693|153095819"	"ENSG00000067840.12_2"	"PDZD4"	"chrX"	"-"	"153072733"	"153072824"	"153072196"	"153072295"	"153095693"	"153095819"	"0"	"0"
"346488|ENSG00000067840.12_2|PDZD4|chrX|-|153073796|153074050|153072196|153072295|153095693|153095819"	"ENSG00000067840.12_2"	"PDZD4"	"chrX"	"-"	"153073796"	"153074050"	"153072196"	"153072295"	"153095693"	"153095819"	"0"	"0"
"346493|ENSG00000067840.12_2|PDZD4|chrX|-|153073814|153074050|153072196|153072295|153095693|153095945"	"ENSG00000067840.12_2"	"PDZD4"	"chrX"	"-"	"153073814"	"153074050"	"153072196"	"153072295"	"153095693"	"153095945"	"0"	"0"
"366492|ENSG00000175416.12_2|CLTB|chr5|-|175823479|175823533|175819455|175819946|175824607|175824719"	"ENSG00000175416.12_2"	"CLTB"	"chr5"	"-"	"175823479"	"175823533"	"175819455"	"175819946"	"175824607"	"175824719"	"0"	"0"
"375791|ENSG00000122786.19_3|CALD1|chr7|+|134647570|134647685|134645283|134645379|134650056|134650137"	"ENSG00000122786.19_3"	"CALD1"	"chr7"	"+"	"134647570"	"134647685"	"134645283"	"134645379"	"134650056"	"134650137"	"0"	"0"
"378064|ENSG00000100266.18_3|PACSIN2|chr22|-|43272893|43273016|43272142|43272339|43275053|43275175"	"ENSG00000100266.18_3"	"PACSIN2"	"chr22"	"-"	"43272893"	"43273016"	"43272142"	"43272339"	"43275053"	"43275175"	"0"	"0"
"384117|ENSG00000144674.16_3|GOLGA4|chr3|+|37402733|37402796|37396591|37396678|37407570|37408242"	"ENSG00000144674.16_3"	"GOLGA4"	"chr3"	"+"	"37402733"	"37402796"	"37396591"	"37396678"	"37407570"	"37408242"	"0"	"0"
"387118|ENSG00000148700.14_3|ADD3|chr10|+|111892062|111892158|111890120|111890244|111893083|111893969"	"ENSG00000148700.14_3"	"ADD3"	"chr10"	"+"	"111892062"	"111892158"	"111890120"	"111890244"	"111893083"	"111893969"	"0"	"0"
"391482|ENSG00000067900.7_3|ROCK1|chr18|-|18540623|18540672|18540096|18540167|18546877|18547037"	"ENSG00000067900.7_3"	"ROCK1"	"chr18"	"-"	"18540623"	"18540672"	"18540096"	"18540167"	"18546877"	"18547037"	"0"	"0"
"393912|ENSG00000104529.17_3|EEF1D|chr8|-|144671160|144672262|144668898|144669022|144679517|144679845"	"ENSG00000104529.17_3"	"EEF1D"	"chr8"	"-"	"144671160"	"144672262"	"144668898"	"144669022"	"144679517"	"144679845"	"0"	"0"
"396579|ENSG00000142192.20_3|APP|chr21|-|27372329|27372497|27354656|27354790|27394155|27394358"	"ENSG00000142192.20_3"	"APP"	"chr21"	"-"	"27372329"	"27372497"	"27354656"	"27354790"	"27394155"	"27394358"	"0"	"0"
"246430|ENSG00000196776.14_2|CD47|chr3|-|107769424|107769449|107765925|107766139|107770785|107770817"	"ENSG00000196776.14_2"	"CD47"	"chr3"	"-"	"107769424"	"107769449"	"107765925"	"107766139"	"107770785"	"107770817"	"4.94065645841247e-324"	"5.92878775009496e-322"
"69495|ENSG00000073921.17_3|PICALM|chr11|-|85701292|85701442|85694908|85695016|85707868|85707972"	"ENSG00000073921.17_3"	"PICALM"	"chr11"	"-"	"85701292"	"85701442"	"85694908"	"85695016"	"85707868"	"85707972"	"9.88131291682493e-324"	"1.17093558064375e-321"
"224313|ENSG00000125991.19_3|ERGIC3|chr20|+|34142142|34142157|34136560|34136618|34142814|34142846"	"ENSG00000125991.19_3"	"ERGIC3"	"chr20"	"+"	"34142142"	"34142157"	"34136560"	"34136618"	"34142814"	"34142846"	"1.33397724377137e-322"	"1.5632237034417e-320"
"119526|ENSG00000085733.15_2|CTTN|chr11|+|70268614|70268737|70266491|70266616|70269045|70269101"	"ENSG00000085733.15_2"	"CTTN"	"chr11"	"+"	"70268614"	"70268737"	"70266491"	"70266616"	"70269045"	"70269101"	"2.37151510003798e-322"	"2.7489812534607e-320"
"74323|ENSG00000204387.12_2|C6orf48|chr6|+|31804071|31804294|31803187|31803228|31805012|31805212"	"ENSG00000204387.12_2"	"C6orf48"	"chr6"	"+"	"31804071"	"31804294"	"31803187"	"31803228"	"31805012"	"31805212"	"3.85371203756172e-322"	"4.41941720204995e-320"
"263897|ENSG00000108509.20_2|CAMTA2|chr17|-|4872794|4872815|4872444|4872632|4872924|4872996"	"ENSG00000108509.20_2"	"CAMTA2"	"chr17"	"-"	"4872794"	"4872815"	"4872444"	"4872632"	"4872924"	"4872996"	"2.80629286837828e-321"	"3.18395664805933e-319"
"261365|ENSG00000077380.15_3|DYNC1I2|chr2|+|172569276|172569336|172563399|172563887|172571837|172571860"	"ENSG00000077380.15_3"	"DYNC1I2"	"chr2"	"+"	"172569276"	"172569336"	"172563399"	"172563887"	"172571837"	"172571860"	"3.08791028650779e-321"	"3.46656219748052e-319"
"98025|ENSG00000131626.16_3|PPFIA1|chr11|+|70211478|70211541|70208393|70208594|70218320|70218496"	"ENSG00000131626.16_3"	"PPFIA1"	"chr11"	"+"	"70211478"	"70211541"	"70208393"	"70208594"	"70218320"	"70218496"	"2.48564426422731e-320"	"2.76139712314069e-318"
"105145|ENSG00000135597.18_3|REPS1|chr6|-|139247537|139247618|139242173|139242261|139251113|139251235"	"ENSG00000135597.18_3"	"REPS1"	"chr6"	"-"	"139247537"	"139247618"	"139242173"	"139242261"	"139251113"	"139251235"	"3.56567176603628e-320"	"3.92040101843737e-318"
"17562|ENSG00000182979.17_3|MTA1|chr14|+|105934674|105934686|105933043|105933079|105935803|105935835"	"ENSG00000182979.17_3"	"MTA1"	"chr14"	"+"	"105934674"	"105934686"	"105933043"	"105933079"	"105935803"	"105935835"	"7.95939755450248e-320"	"8.66193419960644e-318"
"326987|ENSG00000105223.19_3|PLD3|chr19|+|40871624|40871837|40854591|40854675|40872325|40872371"	"ENSG00000105223.19_3"	"PLD3"	"chr19"	"+"	"40871624"	"40871837"	"40854591"	"40854675"	"40872325"	"40872371"	"1.20137002442758e-319"	"1.29420298301856e-317"
"271790|ENSG00000176884.14_3|GRIN1|chr9|+|140042603|140042666|140040177|140040354|140043460|140043561"	"ENSG00000176884.14_3"	"GRIN1"	"chr9"	"+"	"140042603"	"140042666"	"140040177"	"140040354"	"140043460"	"140043561"	"3.19398618066991e-319"	"3.406386484014e-317"
"88608|ENSG00000132485.13_3|ZRANB2|chr1|-|71531360|71531435|71529019|71530820|71532458|71532617"	"ENSG00000132485.13_3"	"ZRANB2"	"chr1"	"-"	"71531360"	"71531435"	"71529019"	"71530820"	"71532458"	"71532617"	"3.61848738357671e-319"	"3.8209075608748e-317"
"105144|ENSG00000135597.18_3|REPS1|chr6|-|139247537|139247615|139242173|139242261|139251113|139251134"	"ENSG00000135597.18_3"	"REPS1"	"chr6"	"-"	"139247537"	"139247615"	"139242173"	"139242261"	"139251113"	"139251134"	"1.27987557335481e-317"	"1.33822284373855e-315"
"93858|ENSG00000197226.12_1|TBC1D9B|chr5|-|179294444|179294495|179292837|179292888|179294777|179294849"	"ENSG00000197226.12_1"	"TBC1D9B"	"chr5"	"-"	"179294444"	"179294495"	"179292837"	"179292888"	"179294777"	"179294849"	"1.87635954538201e-317"	"1.94285189801193e-315"
