"Exon ID"	"Gene Symbol"	"Chr"	"Strand"	"Exon Start"	"Exon End"	"Upstream Exon Start"	"Upstream Exon End"	"Downstream Exon Start"	"Downstream Exon End"	"P-value"	"FDR"
"330524|ENSG00000060237.16_3|WNK1|chr12|+|1010726|1010798|1009641|1009836|1017012|1017200"	"ENSG00000060237.16_3"	"WNK1"	"chr12"	"+"	"1010726"	"1010798"	"1009641"	"1009836"	"1017012"	"1017200"	"3.23945301826286e-05"	"0.0252395086026256"
"5114|ENSG00000173436.13_3|MINOS1|chr1|+|19943751|19943830|19923494|19923603|19952880|19953117"	"ENSG00000173436.13_3"	"MINOS1"	"chr1"	"+"	"19943751"	"19943830"	"19923494"	"19923603"	"19952880"	"19953117"	"3.31796965793339e-05"	"0.0252395086026256"
"105675|ENSG00000162585.16_3|FAAP20|chr1|-|2125436|2125572|2125077|2125349|2129445|2129581"	"ENSG00000162585.16_3"	"FAAP20"	"chr1"	"-"	"2125436"	"2125572"	"2125077"	"2125349"	"2129445"	"2129581"	"3.89173169659913e-05"	"0.0252395086026256"
"174642|ENSG00000128641.18_2|MYO1B|chr2|+|192265474|192265561|192265107|192265194|192272840|192272915"	"ENSG00000128641.18_2"	"MYO1B"	"chr2"	"+"	"192265474"	"192265561"	"192265107"	"192265194"	"192272840"	"192272915"	"3.98609063498111e-05"	"0.0252395086026256"
"35481|ENSG00000184922.13_3|FMNL1|chr17|+|43323871|43323971|43323576|43323697|43324233|43324687"	"ENSG00000184922.13_3"	"FMNL1"	"chr17"	"+"	"43323871"	"43323971"	"43323576"	"43323697"	"43324233"	"43324687"	"4.21481705008145e-05"	"0.0252395086026256"
"240962|ENSG00000161791.13_2|FMNL3|chr12|-|50052224|50052377|50050864|50050973|50055748|50055832"	"ENSG00000161791.13_2"	"FMNL3"	"chr12"	"-"	"50052224"	"50052377"	"50050864"	"50050973"	"50055748"	"50055832"	"4.44072182197224e-05"	"0.0252395086026256"
"246946|ENSG00000111907.20_3|TPD52L1|chr6|+|125573167|125573182|125569427|125569529|125574862|125574901"	"ENSG00000111907.20_3"	"TPD52L1"	"chr6"	"+"	"125573167"	"125573182"	"125569427"	"125569529"	"125574862"	"125574901"	"4.44403509528267e-05"	"0.0252395086026256"
"104743|ENSG00000139613.11_3|SMARCC2|chr12|-|56566720|56566813|56566368|56566488|56567479|56567633"	"ENSG00000139613.11_3"	"SMARCC2"	"chr12"	"-"	"56566720"	"56566813"	"56566368"	"56566488"	"56567479"	"56567633"	"5.02362868134981e-05"	"0.0252395086026256"
"315828|ENSG00000165802.21_3|NSMF|chr9|-|140350080|140350086|140348842|140348895|140350862|140350938"	"ENSG00000165802.21_3"	"NSMF"	"chr9"	"-"	"140350080"	"140350086"	"140348842"	"140348895"	"140350862"	"140350938"	"5.11504120828522e-05"	"0.0252395086026256"
"285430|ENSG00000185630.18_3|PBX1|chr1|+|164789308|164789421|164781226|164781386|164790773|164790863"	"ENSG00000185630.18_3"	"PBX1"	"chr1"	"+"	"164789308"	"164789421"	"164781226"	"164781386"	"164790773"	"164790863"	"5.21883695352623e-05"	"0.0252395086026256"
"179158|ENSG00000116698.21_3|SMG7|chr1|+|183516237|183516387|183515100|183515472|183518342|183518423"	"ENSG00000116698.21_3"	"SMG7"	"chr1"	"+"	"183516237"	"183516387"	"183515100"	"183515472"	"183518342"	"183518423"	"5.43980136779205e-05"	"0.0252395086026256"
"65712|ENSG00000140416.19_3|TPM1|chr15|+|63353396|63353472|63353067|63353138|63353911|63353987"	"ENSG00000140416.19_3"	"TPM1"	"chr15"	"+"	"63353396"	"63353472"	"63353067"	"63353138"	"63353911"	"63353987"	"5.44311952986768e-05"	"0.0252395086026256"
"296204|ENSG00000087460.24_3|GNAS|chr20|+|57473995|57474040|57470217|57470739|57478582|57478640"	"ENSG00000087460.24_3"	"GNAS"	"chr20"	"+"	"57473995"	"57474040"	"57470217"	"57470739"	"57478582"	"57478640"	"5.71840195016666e-05"	"0.0254111486660531"
"138746|ENSG00000150471.16_3|ADGRL3|chr4|+|62933883|62933935|62910170|62910267|62935826|62936711"	"ENSG00000150471.16_3"	"ADGRL3"	"chr4"	"+"	"62933883"	"62933935"	"62910170"	"62910267"	"62935826"	"62936711"	"6.83073620082143e-05"	"0.0291399206327042"
"138733|ENSG00000150471.16_3|ADGRL3|chr4|+|62894572|62894599|62863891|62863983|62897159|62897328"	"ENSG00000150471.16_3"	"ADGRL3"	"chr4"	"+"	"62894572"	"62894599"	"62863891"	"62863983"	"62897159"	"62897328"	"7.66812199795176e-05"	"0.0314540465800598"
"354880|ENSG00000108262.15_3|GIT1|chr17|-|27905979|27906006|27905748|27905797|27908355|27908398"	"ENSG00000108262.15_3"	"GIT1"	"chr17"	"-"	"27905979"	"27906006"	"27905748"	"27905797"	"27908355"	"27908398"	"8.91530225509811e-05"	"0.0342694980270733"
"218988|ENSG00000125733.17_2|TRIP10|chr19|+|6746039|6746207|6744810|6745005|6746462|6746572"	"ENSG00000125733.17_2"	"TRIP10"	"chr19"	"+"	"6746039"	"6746207"	"6744810"	"6745005"	"6746462"	"6746572"	"9.2924051171005e-05"	"0.0342694980270733"
"237823|ENSG00000100711.13_2|ZFYVE21|chr14|+|104196129|104196183|104195427|104195519|104198956|104199099"	"ENSG00000100711.13_2"	"ZFYVE21"	"chr14"	"+"	"104196129"	"104196183"	"104195427"	"104195519"	"104198956"	"104199099"	"9.31847578795243e-05"	"0.0342694980270733"
"247617|ENSG00000095637.21_3|SORBS1|chr10|-|97131082|97131184|97127406|97127456|97135729|97135813"	"ENSG00000095637.21_3"	"SORBS1"	"chr10"	"-"	"97131082"	"97131184"	"97127406"	"97127456"	"97135729"	"97135813"	"9.69151658996459e-05"	"0.0344533414773241"
"152350|ENSG00000131374.14_3|TBC1D5|chr3|-|17275176|17275242|17255698|17255862|17279654|17279911"	"ENSG00000131374.14_3"	"TBC1D5"	"chr3"	"-"	"17275176"	"17275242"	"17255698"	"17255862"	"17279654"	"17279911"	"0.000102580515930924"	"0.0346160166042106"
"242023|ENSG00000064042.17_3|LIMCH1|chr4|+|41689856|41689934|41687726|41687847|41691543|41691652"	"ENSG00000064042.17_3"	"LIMCH1"	"chr4"	"+"	"41689856"	"41689934"	"41687726"	"41687847"	"41691543"	"41691652"	"0.000114432589386464"	"0.0346160166042106"
"39531|ENSG00000184465.15_2|WDR27|chr6|-|170063658|170063745|170062399|170062520|170064261|170064382"	"ENSG00000184465.15_2"	"WDR27"	"chr6"	"-"	"170063658"	"170063745"	"170062399"	"170062520"	"170064261"	"170064382"	"0.000114676081356325"	"0.0346160166042106"
"326049|ENSG00000128833.12_2|MYO5C|chr15|-|52505384|52505483|52503926|52504081|52506799|52506887"	"ENSG00000128833.12_2"	"MYO5C"	"chr15"	"-"	"52505384"	"52505483"	"52503926"	"52504081"	"52506799"	"52506887"	"0.00011746937963954"	"0.0346160166042106"
"278687|ENSG00000149657.19_3|LSM14B|chr20|+|60702640|60702757|60701359|60701495|60704840|60705008"	"ENSG00000149657.19_3"	"LSM14B"	"chr20"	"+"	"60702640"	"60702757"	"60701359"	"60701495"	"60704840"	"60705008"	"0.000118414960479771"	"0.0346160166042106"
"312881|ENSG00000142459.8_3|EVI5L|chr19|+|7921977|7922010|7920900|7920954|7923076|7923217"	"ENSG00000142459.8_3"	"EVI5L"	"chr19"	"+"	"7921977"	"7922010"	"7920900"	"7920954"	"7923076"	"7923217"	"0.000120007999080597"	"0.0346160166042106"
"263330|ENSG00000068796.16_3|KIF2A|chr5|+|61668264|61668378|61662240|61662308|61669513|61669664"	"ENSG00000068796.16_3"	"KIF2A"	"chr5"	"+"	"61668264"	"61668378"	"61662240"	"61662308"	"61669513"	"61669664"	"0.000120093072138377"	"0.0346160166042106"
"292205|ENSG00000205707.10_3|ETFRF1|chr12|+|25356658|25356766|25348203|25348271|25356853|25356941"	"ENSG00000205707.10_3"	"ETFRF1"	"chr12"	"+"	"25356658"	"25356766"	"25348203"	"25348271"	"25356853"	"25356941"	"0.000124395513419559"	"0.034722798208693"
"219491|ENSG00000078549.14_3|ADCYAP1R1|chr7|+|31139740|31139824|31132257|31132349|31142850|31142980"	"ENSG00000078549.14_3"	"ADCYAP1R1"	"chr7"	"+"	"31139740"	"31139824"	"31132257"	"31132349"	"31142850"	"31142980"	"0.000128526448659811"	"0.034722798208693"
"302535|ENSG00000066855.15_2|MTFR1|chr8|+|66601800|66601834|66594587|66594686|66605878|66605994"	"ENSG00000066855.15_2"	"MTFR1"	"chr8"	"+"	"66601800"	"66601834"	"66594587"	"66594686"	"66605878"	"66605994"	"0.000130230841851638"	"0.034722798208693"
"161953|ENSG00000131323.14_3|TRAF3|chr14|+|103355896|103355971|103352525|103352606|103357661|103357754"	"ENSG00000131323.14_3"	"TRAF3"	"chr14"	"+"	"103355896"	"103355971"	"103352525"	"103352606"	"103357661"	"103357754"	"0.000135151226150616"	"0.0351558006560078"
"19831|ENSG00000129084.17_3|PSMA1|chr11|-|14541450|14541757|14540542|14540587|14541842|14541991"	"ENSG00000129084.17_3"	"PSMA1"	"chr11"	"-"	"14541450"	"14541757"	"14540542"	"14540587"	"14541842"	"14541991"	"0.00013878895318704"	"0.0352424806128519"
"45985|ENSG00000110921.13_3|MVK|chr12|+|110028487|110028666|110024558|110024604|110029045|110029162"	"ENSG00000110921.13_3"	"MVK"	"chr12"	"+"	"110028487"	"110028666"	"110024558"	"110024604"	"110029045"	"110029162"	"0.000142507361069418"	"0.0353451396698917"
"72047|ENSG00000100505.13_2|TRIM9|chr14|-|51449659|51449683|51448517|51448821|51464767|51464906"	"ENSG00000100505.13_2"	"TRIM9"	"chr14"	"-"	"51449659"	"51449683"	"51448517"	"51448821"	"51464767"	"51464906"	"0.000158880429447249"	"0.0381093826421754"
"141320|ENSG00000077721.15_2|UBE2A|chrX|+|118715469|118715559|118709337|118709363|118716550|118716610"	"ENSG00000077721.15_2"	"UBE2A"	"chrX"	"+"	"118715469"	"118715559"	"118709337"	"118709363"	"118716550"	"118716610"	"0.000163218681036836"	"0.0381093826421754"
"113043|ENSG00000175581.13_3|MRPL48|chr11|+|73554291|73554412|73519357|73519395|73555851|73555979"	"ENSG00000175581.13_3"	"MRPL48"	"chr11"	"+"	"73554291"	"73554412"	"73519357"	"73519395"	"73555851"	"73555979"	"0.000169205287297696"	"0.0381093826421754"
"241788|ENSG00000146151.12_2|HMGCLL1|chr6|-|55381305|55381401|55378845|55378994|55406526|55406634"	"ENSG00000146151.12_2"	"HMGCLL1"	"chr6"	"-"	"55381305"	"55381401"	"55378845"	"55378994"	"55406526"	"55406634"	"0.000175934784815196"	"0.0381093826421754"
"262033|ENSG00000081803.15_3|CADPS2|chr7|-|122054121|122054130|122047593|122047750|122056114|122056218"	"ENSG00000081803.15_3"	"CADPS2"	"chr7"	"-"	"122054121"	"122054130"	"122047593"	"122047750"	"122056114"	"122056218"	"0.000181448237258648"	"0.0381093826421754"
"343145|ENSG00000081189.15_3|MEF2C|chr5|-|88026027|88026051|88025034|88025164|88027545|88027644"	"ENSG00000081189.15_3"	"MEF2C"	"chr5"	"-"	"88026027"	"88026051"	"88025034"	"88025164"	"88027545"	"88027644"	"0.00018395393088118"	"0.0381093826421754"
"77948|ENSG00000255857.5_2|PXN-AS1|chr12|+|120648732|120648909|120647641|120647737|120650177|120650941"	"ENSG00000255857.5_2"	"PXN-AS1"	"chr12"	"+"	"120648732"	"120648909"	"120647641"	"120647737"	"120650177"	"120650941"	"0.000187647275219762"	"0.0381093826421754"
"101093|ENSG00000123352.17_3|SPATS2|chr12|+|49906644|49906688|49893852|49893988|49908337|49908396"	"ENSG00000123352.17_3"	"SPATS2"	"chr12"	"+"	"49906644"	"49906688"	"49893852"	"49893988"	"49908337"	"49908396"	"0.000189933493602322"	"0.0381093826421754"
"347908|ENSG00000196091.13_3|MYBPC1|chr12|+|102060521|102060575|102057203|102057338|102061509|102061677"	"ENSG00000196091.13_3"	"MYBPC1"	"chr12"	"+"	"102060521"	"102060575"	"102057203"	"102057338"	"102061509"	"102061677"	"0.000194826284399454"	"0.0381093826421754"
"8157|ENSG00000156709.13_2|AIFM1|chrX|-|129290434|129290577|129289130|129289261|129299524|129299638"	"ENSG00000156709.13_2"	"AIFM1"	"chrX"	"-"	"129290434"	"129290577"	"129289130"	"129289261"	"129299524"	"129299638"	"0.000198574531647591"	"0.0381093826421754"
"77853|ENSG00000110811.19_3|P3H3|chr12|+|6940033|6940197|6939802|6939934|6940379|6940516"	"ENSG00000110811.19_3"	"P3H3"	"chr12"	"+"	"6940033"	"6940197"	"6939802"	"6939934"	"6940379"	"6940516"	"0.000198731577580903"	"0.0381093826421754"
"188123|ENSG00000089094.18_3|KDM2B|chr12|-|121954271|121954323|121951130|121951205|121958787|121958903"	"ENSG00000089094.18_3"	"KDM2B"	"chr12"	"-"	"121954271"	"121954323"	"121951130"	"121951205"	"121958787"	"121958903"	"0.000199864828282679"	"0.0381093826421754"
"189529|ENSG00000083799.17_3|CYLD|chr16|+|50809076|50809085|50788229|50788335|50810089|50810188"	"ENSG00000083799.17_3"	"CYLD"	"chr16"	"+"	"50809076"	"50809085"	"50788229"	"50788335"	"50810089"	"50810188"	"0.000203129813972874"	"0.0381093826421754"
"108627|ENSG00000263001.5_2|GTF2I|chr7|+|74129176|74129236|74125362|74125440|74131213|74131270"	"ENSG00000263001.5_2"	"GTF2I"	"chr7"	"+"	"74129176"	"74129236"	"74125362"	"74125440"	"74131213"	"74131270"	"0.000206765488248111"	"0.0381093826421754"
"199890|ENSG00000107263.18_2|RAPGEF1|chr9|-|134479347|134479440|134477447|134477536|134497182|134497225"	"ENSG00000107263.18_2"	"RAPGEF1"	"chr9"	"-"	"134479347"	"134479440"	"134477447"	"134477536"	"134497182"	"134497225"	"0.000209187283998953"	"0.0381093826421754"
"247607|ENSG00000095637.21_3|SORBS1|chr10|-|97115383|97116862|97114638|97114724|97117387|97117560"	"ENSG00000095637.21_3"	"SORBS1"	"chr10"	"-"	"97115383"	"97116862"	"97114638"	"97114724"	"97117387"	"97117560"	"0.000210825464218317"	"0.0381093826421754"
"22993|ENSG00000122126.15_3|OCRL|chrX|+|128718320|128718344|128710293|128710529|128720978|128721095"	"ENSG00000122126.15_3"	"OCRL"	"chrX"	"+"	"128718320"	"128718344"	"128710293"	"128710529"	"128720978"	"128721095"	"0.000219071216599543"	"0.0385081180399119"
"279360|ENSG00000122490.18_2|PQLC1|chr18|-|77690227|77690311|77663577|77664183|77703328|77703462"	"ENSG00000122490.18_2"	"PQLC1"	"chr18"	"-"	"77690227"	"77690311"	"77663577"	"77664183"	"77703328"	"77703462"	"0.000222405445422007"	"0.0385081180399119"
"244016|ENSG00000082397.17_3|EPB41L3|chr18|-|5398019|5401042|5397056|5397425|5406775|5406967"	"ENSG00000082397.17_3"	"EPB41L3"	"chr18"	"-"	"5398019"	"5401042"	"5397056"	"5397425"	"5406775"	"5406967"	"0.000223863414765545"	"0.0385081180399119"
"72058|ENSG00000100505.13_2|TRIM9|chr14|-|51452673|51452862|51448517|51448821|51464767|51464906"	"ENSG00000100505.13_2"	"TRIM9"	"chr14"	"-"	"51452673"	"51452862"	"51448517"	"51448821"	"51464767"	"51464906"	"0.000234561898814543"	"0.0395418347587803"
"69495|ENSG00000073921.17_3|PICALM|chr11|-|85701292|85701442|85694908|85695016|85707868|85707972"	"ENSG00000073921.17_3"	"PICALM"	"chr11"	"-"	"85701292"	"85701442"	"85694908"	"85695016"	"85707868"	"85707972"	"0.000238310815370241"	"0.0395418347587803"
"346113|ENSG00000138443.15_3|ABI2|chr2|+|204261606|204261690|204260378|204260503|204267298|204267457"	"ENSG00000138443.15_3"	"ABI2"	"chr2"	"+"	"204261606"	"204261690"	"204260378"	"204260503"	"204267298"	"204267457"	"0.000244518351672456"	"0.0395418347587803"
"140168|ENSG00000106772.17_3|PRUNE2|chr9|-|79239367|79239406|79226291|79229516|79244107|79244206"	"ENSG00000106772.17_3"	"PRUNE2"	"chr9"	"-"	"79239367"	"79239406"	"79226291"	"79229516"	"79244107"	"79244206"	"0.000244703337466432"	"0.0395418347587803"
"100967|ENSG00000166532.15_3|RIMKLB|chr12|+|8852380|8853210|8850517|8850893|8866406|8866637"	"ENSG00000166532.15_3"	"RIMKLB"	"chr12"	"+"	"8852380"	"8853210"	"8850517"	"8850893"	"8866406"	"8866637"	"0.000259780057162283"	"0.0404075384116663"
"147258|ENSG00000127603.23_3|MACF1|chr1|+|39930766|39930784|39929283|39929358|39934286|39934404"	"ENSG00000127603.23_3"	"MACF1"	"chr1"	"+"	"39930766"	"39930784"	"39929283"	"39929358"	"39934286"	"39934404"	"0.000263965652047486"	"0.0404075384116663"
"114551|ENSG00000108021.19_3|FAM208B|chr10|+|5777266|5777509|5772449|5773166|5781580|5782460"	"ENSG00000108021.19_3"	"FAM208B"	"chr10"	"+"	"5777266"	"5777509"	"5772449"	"5773166"	"5781580"	"5782460"	"0.000269918016344491"	"0.0404075384116663"
"95078|ENSG00000170390.15_2|DCLK2|chr4|+|151120179|151120230|151119153|151119255|151124946|151125041"	"ENSG00000170390.15_2"	"DCLK2"	"chr4"	"+"	"151120179"	"151120230"	"151119153"	"151119255"	"151124946"	"151125041"	"0.00027021209257791"	"0.0404075384116663"
"385428|ENSG00000117569.18_2|PTBP2|chr1|+|97271974|97272008|97270340|97270495|97272421|97272514"	"ENSG00000117569.18_2"	"PTBP2"	"chr1"	"+"	"97271974"	"97272008"	"97270340"	"97270495"	"97272421"	"97272514"	"0.000272155202285761"	"0.0404075384116663"
"107156|ENSG00000139116.18_3|KIF21A|chr12|-|39711874|39712003|39705218|39705355|39713707|39713815"	"ENSG00000139116.18_3"	"KIF21A"	"chr12"	"-"	"39711874"	"39712003"	"39705218"	"39705355"	"39713707"	"39713815"	"0.000272793508264414"	"0.0404075384116663"
"25883|ENSG00000182985.17_3|CADM1|chr11|-|115080293|115080377|115069125|115069158|115085327|115085414"	"ENSG00000182985.17_3"	"CADM1"	"chr11"	"-"	"115080293"	"115080377"	"115069125"	"115069158"	"115085327"	"115085414"	"0.00028139539508578"	"0.0411107108026006"
"62376|ENSG00000075711.20_3|DLG1|chr3|-|196795372|196795408|196793574|196793625|196796089|196796131"	"ENSG00000075711.20_3"	"DLG1"	"chr3"	"-"	"196795372"	"196795408"	"196793574"	"196793625"	"196796089"	"196796131"	"0.000291405043553478"	"0.0415192388155052"
"43345|ENSG00000180902.17_2|D2HGDH|chr2|+|242688279|242689344|242684123|242684292|242689565|242689709"	"ENSG00000180902.17_2"	"D2HGDH"	"chr2"	"+"	"242688279"	"242689344"	"242684123"	"242684292"	"242689565"	"242689709"	"0.000291977769447997"	"0.0415192388155052"
"374036|ENSG00000275023.4_2|MLLT6|chr17|+|36878130|36878480|36876911|36877000|36878930|36879021"	"ENSG00000275023.4_2"	"MLLT6"	"chr17"	"+"	"36878130"	"36878480"	"36876911"	"36877000"	"36878930"	"36879021"	"0.000306618343439589"	"0.0425426249679359"
"296205|ENSG00000087460.24_3|GNAS|chr20|+|57473995|57474040|57470217|57470739|57478585|57478611"	"ENSG00000087460.24_3"	"GNAS"	"chr20"	"+"	"57473995"	"57474040"	"57470217"	"57470739"	"57478585"	"57478611"	"0.000310901680055752"	"0.0425426249679359"
"302900|ENSG00000107897.18_3|ACBD5|chr10|-|27512135|27512168|27508651|27508786|27512266|27512381"	"ENSG00000107897.18_3"	"ACBD5"	"chr10"	"-"	"27512135"	"27512168"	"27508651"	"27508786"	"27512266"	"27512381"	"0.000311141560946929"	"0.0425426249679359"
"276202|ENSG00000137802.13_3|MAPKBP1|chr15|+|42105527|42105545|42105116|42105299|42105818|42105979"	"ENSG00000137802.13_3"	"MAPKBP1"	"chr15"	"+"	"42105527"	"42105545"	"42105116"	"42105299"	"42105818"	"42105979"	"0.000316846021424913"	"0.0427317147455285"
"222104|ENSG00000152782.16_2|PANK1|chr10|-|91353569|91353746|91352953|91353077|91359008|91359262"	"ENSG00000152782.16_2"	"PANK1"	"chr10"	"-"	"91353569"	"91353746"	"91352953"	"91353077"	"91359008"	"91359262"	"0.000326036376766713"	"0.0427317147455285"
"153611|ENSG00000173744.17_3|AGFG1|chr2|+|228395806|228395926|228389477|228389631|228398264|228398397"	"ENSG00000173744.17_3"	"AGFG1"	"chr2"	"+"	"228395806"	"228395926"	"228389477"	"228389631"	"228398264"	"228398397"	"0.000326768509557909"	"0.0427317147455285"
"1541|ENSG00000204843.12_3|DCTN1|chr2|-|74600054|74600075|74598483|74598855|74604558|74604593"	"ENSG00000204843.12_3"	"DCTN1"	"chr2"	"-"	"74600054"	"74600075"	"74598483"	"74598855"	"74604558"	"74604593"	"0.000338829776698375"	"0.0427317147455285"
"244417|ENSG00000088387.18_3|DOCK9|chr13|-|99448459|99448467|99445740|99447002|99449368|99449507"	"ENSG00000088387.18_3"	"DOCK9"	"chr13"	"-"	"99448459"	"99448467"	"99445740"	"99447002"	"99449368"	"99449507"	"0.000345272173045841"	"0.0427317147455285"
"174643|ENSG00000128641.18_2|MYO1B|chr2|+|192267357|192267444|192265107|192265194|192272840|192272915"	"ENSG00000128641.18_2"	"MYO1B"	"chr2"	"+"	"192267357"	"192267444"	"192265107"	"192265194"	"192272840"	"192272915"	"0.000347401130999573"	"0.0427317147455285"
"266234|ENSG00000080845.17_2|DLGAP4|chr20|+|35127644|35127724|35125107|35125469|35127990|35128079"	"ENSG00000080845.17_2"	"DLGAP4"	"chr20"	"+"	"35127644"	"35127724"	"35125107"	"35125469"	"35127990"	"35128079"	"0.000347557272607162"	"0.0427317147455285"
"164974|ENSG00000088367.21_3|EPB41L1|chr20|+|34783250|34783286|34782133|34782282|34785780|34785963"	"ENSG00000088367.21_3"	"EPB41L1"	"chr20"	"+"	"34783250"	"34783286"	"34782133"	"34782282"	"34785780"	"34785963"	"0.000347903484880714"	"0.0427317147455285"
"220730|ENSG00000110514.19_3|MADD|chr11|+|47330530|47330593|47330141|47330250|47330831|47330952"	"ENSG00000110514.19_3"	"MADD"	"chr11"	"+"	"47330530"	"47330593"	"47330141"	"47330250"	"47330831"	"47330952"	"0.000349092887569002"	"0.0427317147455285"
"125571|ENSG00000175387.15_3|SMAD2|chr18|-|45396845|45396935|45395613|45395807|45422891|45423180"	"ENSG00000175387.15_3"	"SMAD2"	"chr18"	"-"	"45396845"	"45396935"	"45395613"	"45395807"	"45422891"	"45423180"	"0.000352591739109846"	"0.0427317147455285"
"330483|ENSG00000060237.16_3|WNK1|chr12|+|988738|989197|987377|987527|990857|990955"	"ENSG00000060237.16_3"	"WNK1"	"chr12"	"+"	"988738"	"989197"	"987377"	"987527"	"990857"	"990955"	"0.000365691035030478"	"0.0436677561471263"
"98003|ENSG00000131626.16_3|PPFIA1|chr11|+|70197099|70197129|70194294|70194526|70200406|70200558"	"ENSG00000131626.16_3"	"PPFIA1"	"chr11"	"+"	"70197099"	"70197129"	"70194294"	"70194526"	"70200406"	"70200558"	"0.000368504271283766"	"0.0436677561471263"
"133166|ENSG00000145725.19_3|PPIP5K2|chr5|+|102523014|102523077|102520372|102520445|102526542|102526683"	"ENSG00000145725.19_3"	"PPIP5K2"	"chr5"	"+"	"102523014"	"102523077"	"102520372"	"102520445"	"102526542"	"102526683"	"0.000386271334581365"	"0.0437726650755958"
"297998|ENSG00000111666.10_3|CHPT1|chr12|+|102113267|102113294|102110505|102110590|102113900|102114032"	"ENSG00000111666.10_3"	"CHPT1"	"chr12"	"+"	"102113267"	"102113294"	"102110505"	"102110590"	"102113900"	"102114032"	"0.000390570233188118"	"0.0437726650755958"
"262088|ENSG00000109083.13_3|IFT20|chr17|-|26659171|26659207|26658628|26659013|26662365|26662465"	"ENSG00000109083.13_3"	"IFT20"	"chr17"	"-"	"26659171"	"26659207"	"26658628"	"26659013"	"26662365"	"26662465"	"0.000393364589650581"	"0.0437726650755958"
"192838|ENSG00000070081.15_3|NUCB2|chr11|+|17304335|17304490|17298287|17298375|17316870|17316971"	"ENSG00000070081.15_3"	"NUCB2"	"chr11"	"+"	"17304335"	"17304490"	"17298287"	"17298375"	"17316870"	"17316971"	"0.000395339314619507"	"0.0437726650755958"
